number;disciplines_id;avgMark
1126;2225;3.4
1127;2227;3.548
1128;2233;4.071
1129;2234;3.962
1130;2237;4.643
1131;2244;4.114
1132;2253;3.487
1133;2254;3.364
1134;2257;4.519
1135;2259;4.267
1136;2270;3.464
1137;2273;3.161
1138;2274;4.393
1139;2278;4.455
1140;2281;4.792
1141;2285;3.857
1142;2288;3.455
1143;2289;4.8
1144;2293;4.8
1145;2294;4.516
1146;2296;4.742
1147;2298;3.783
1148;2302;4.143
1149;2308;4.645
1150;2309;4.235
1151;2310;4.265
1152;2315;4.125
1153;2316;3.586
1154;2318;4.313
1155;2335;4.571
1156;2336;4.571
1157;2337;4.607
1158;2338;4.435
1159;2340;4.957
1160;2342;4.478
1161;2354;4.108
1162;2355;3.769
1163;2356;4.146
1164;2358;4.35
1165;2366;4.028
1166;2371;3.634
1167;2372;4.5
1168;2374;4.667
1169;2376;4.353
1170;2381;4.073
1171;2384;3.571
1172;2385;4.3
1173;2386;4.654
1174;2387;4.095
1175;2388;3.889
1176;2389;4.111
1177;2392;4.056
1178;2395;4.167
1179;2396;3.473
1180;2397;4
1181;2398;4.737
1182;2407;3.077
1183;2409;4.833
1184;2410;4.8
1185;2411;4.333
1186;2412;4.522
1187;2413;4.208
1188;2414;4.455
1189;2416;3.423
1190;2417;4.235
1191;2418;4.571
1192;2419;4.667
1193;2420;4.536
1194;2421;4.045
1195;2425;3.556
1196;2426;3.893
1197;2427;4.263
1198;2428;4.299
1199;2429;4.15
1200;2431;4.685
1201;2432;4.357
1202;2434;4
1203;2435;4.083
1204;2436;3.917
1205;2440;3.667
1206;2441;3.934
1207;2444;4.063
1208;2445;4.278
1209;2446;4.826
1210;2449;3.813
1211;2451;3.417
1212;2452;3.7
1213;2455;4.455
1214;2460;4.263
1215;2461;4.375
1216;2463;3.5
1217;2464;4.543
1218;2467;3.927
1219;2473;4.778
1220;2477;3.692
1221;2478;4.313
1222;2479;4.531
1223;2480;4.423
1224;2481;3.607
1225;2483;4.588
1226;2484;4.182
1227;2485;3.591
1228;2487;4.381
1229;2489;3.528
1230;2491;4.783
1231;2492;3.806
1232;2494;3.944
1233;2501;4.087
1234;2504;4.2
1235;2507;2
1236;2508;4.267
1237;2509;4
1238;2511;3.182
1239;2513;3.622
1240;2514;4.182
1241;2515;4
1242;2516;3.529
1243;2517;3.931
1244;2518;4.1
1245;2519;3.4
1246;2520;4.056
1247;2521;4.167
1248;2524;4.389
1249;2527;4
1250;2528;4.75
1251;2533;3.75
1252;2534;4.636
1253;2537;4.472
1254;2540;4.1
1255;2541;4.611
1256;2545;4.244
1257;2546;4.643
1258;2548;4.917
1259;2551;4.556
1260;2553;4.761
1261;2554;4.146
1262;2560;4.4
1263;2562;3.727
1264;2564;4.75
1265;2565;4.625
1266;2566;4.652
1267;2567;4.294
1268;2568;4.133
1269;2569;4.056
1270;2571;3.182
1271;2572;3.371
1272;2573;3.557
1273;2574;4.067
1274;2575;3.879
1275;2576;4.458
1276;2577;4.135
1277;2578;4.16
1278;2581;4.455
1279;2584;4
1280;2586;4.639
1281;2590;4.014
1282;2591;3.909
1283;2593;3.409
1284;2595;4.167
1285;2597;4.161
1286;2598;4.261
1287;2603;4.176
1288;2604;4.083
1289;2605;3.667
1290;2606;4.167
1291;2609;4.522
1292;2612;3.796
1293;2614;3.9
1294;2615;3.667
1295;2617;4.02
1296;2619;4.136
1297;2622;4.75
1298;2624;4.059
1299;2626;3.969
1300;2628;3.583
1301;2629;4.333
1302;2630;3.875
1303;2631;3.756
1304;2632;3.917
1305;2633;4.125
1306;2636;4.957
1307;2638;4.1
1308;2640;3.563
1309;2643;4.759
1310;2647;3.909
1311;2651;4.158
1312;2652;4.658
1313;2658;4.4
1314;2659;3.818
1315;2661;4.826
1316;2664;4.778
1317;2666;3.537
1318;2667;5
1319;2669;4.2
1320;2670;3.545
1321;2671;3.364
1322;2672;4.167
1323;2673;4.125
1324;2676;4.375
1325;2677;3.435
1326;2679;4.036
1327;2680;3.741
1328;2684;3.957
1329;2685;4.6
1330;2688;4.412
1331;2689;4.239
1332;2691;4
1333;2692;3.95
1334;2693;4.2
1335;2694;4.364
1336;2696;4.826
1337;2697;4.417
1338;2699;4.625
1339;2700;4.562
1340;2701;4.444
1341;2703;4.214
1342;2708;4.063
1343;2709;4.13
1344;2710;4.088
1345;2712;3.81
1346;2713;4.333
1347;2715;4.913
1348;2718;4.2
1349;2719;4.29
1350;2722;3.896
1351;2723;4.375
1352;2725;4.375
1353;2727;3.95
1354;2728;4.357
1355;2730;4.382
1356;2731;4.65
1357;2732;4.3
1358;2733;3.818
1359;2734;3.818
1360;2735;4.674
1361;2736;3.533
1362;2737;4.105
1363;2738;4.64
1364;2739;4.52
1365;2742;4.313
1366;2744;3.6
1367;2746;4.063
1368;2747;4.412
1369;2749;4.619
1370;2750;4.8
1371;2753;3.769
1372;2754;4.227
1373;2756;4.5
1374;2757;4.5
1375;2758;4.722
1376;2760;4.5
1377;2761;4.278
1378;2762;4.565
1379;2763;3.87
1380;2764;4.435
1381;2766;5
1382;2770;4.294
1383;2771;3.652
1384;2773;4
1385;2774;4.021
1386;2775;4.458
1387;2776;4.3
1388;2777;4.235
1389;2778;4.217
1390;2779;4.5
1391;2780;4.111
1392;2781;4.6
1393;2782;4.833
1394;2785;4.091
1395;2786;3.816
1396;2787;4.636
1397;2789;4.2
1398;2790;4.353
1399;2792;3.878
1400;2793;4.2
1401;2795;4.833
1402;2798;4
1403;2799;4.294
1404;2804;3.829
1405;2805;3.875
1406;2806;3.824
1407;2810;3.889
1408;2812;3.667
1409;2820;4.091
1410;2821;3.818
1411;2822;4
1412;2823;4.7
1413;2824;3.5
1414;2825;3.875
1415;2829;4.533
1416;2834;4.545
1417;2835;3.813
1418;2836;4.313
